end station id,end station name,end station latitude,end station longitude,end duration mean,end duration sum,end duration count,end year,end type
195,Liberty St & Broadway,40.70905623,-74.01043382,2111.3333333333335,6334,3,2019,subs
315,South St & Gouverneur Ln,40.70355377,-74.00670227,3539.0,3539,1,2019,subs
327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,3925.5,15702,4,2019,subs
337,Old Slip & Front St,40.703799200000006,-74.00838676,852.5,3410,4,2019,subs
383,Greenwich Ave & Charles St,40.735238,-74.000271,17089.0,34178,2,2019,subs
447,8 Ave & W 52 St,40.76370739,-73.9851615,2360.0,2360,1,2019,subs
524,W 43 St & 6 Ave,40.75527307,-73.98316936,2110.0,2110,1,2019,subs
3184,Paulus Hook,40.7141454,-74.0335519,653.631914893617,921621,1410,2019,subs
3185,City Hall,40.717732500000004,-74.04384499999999,519.6578680203046,511863,985,2019,subs
3186,Grove St PATH,40.71958611647166,-74.0431174635887,572.9792735481223,2792128,4873,2019,subs
3187,Warren St,40.721123600000006,-74.03805095,589.0962627406568,520172,883,2019,subs
3191,Union St,40.71821129999999,-74.08363940000001,780.9203539823009,88244,113,2019,subs
3192,Liberty Light Rail,40.711242299999995,-74.0557013,1176.6626506024097,781304,664,2019,subs
3193,Lincoln Park,40.7246050998869,-74.07840594649316,746.6600566572238,263571,353,2019,subs
3194,McGinley Square,40.7253399253558,-74.06762212514876,408.65242165242165,143437,351,2019,subs
3195,Sip Ave,40.73089709786179,-74.06391263008119,635.415956622773,820322,1291,2019,subs
3196,Riverview Park,40.7443187,-74.04399090000001,949.698224852071,160499,169,2019,subs
3198,Heights Elevator,40.748715945380226,-74.04044330120088,901.9004975124378,181282,201,2019,subs
3199,Newport Pkwy,40.728744799999994,-74.03210820000001,759.3108808290156,732735,965,2019,subs
3201,Dey St,40.737711,-74.066921,521.06875,83371,160,2019,subs
3202,Newport PATH,40.7272235,-74.03375890000001,532.9366916269571,782884,1469,2019,subs
3203,Hamilton Park,40.727595965999996,-74.044247311,484.5703125,992400,2048,2019,subs
3205,JC Medical Center,40.71653978099194,-74.0496379137039,1350.3268892794376,768336,569,2019,subs
3206,Hilltop,40.7311689,-74.0575736,789.0597609561753,198054,251,2019,subs
3207,Oakland Ave,40.7376037,-74.05247829999999,564.0926517571885,176561,313,2019,subs
3209,Brunswick St,40.7241765,-74.05065640000001,437.6464174454829,280969,642,2019,subs
3210,Pershing Field,40.742677141,-74.051788633,778.1375921375922,316702,407,2019,subs
3211,Newark Ave,40.72152515,-74.046304543,430.36722606120435,435962,1013,2019,subs
3212,Christ Hospital,40.734785818,-74.050443636,749.9638554216867,124494,166,2019,subs
3213,Van Vorst Park,40.71848892,-74.047726625,574.4621099554234,386613,673,2019,subs
3214,Essex Light Rail,40.712774200000005,-74.03648570000001,539.298353909465,262099,486,2019,subs
3220,5 Corners Library,40.73496102000952,-74.05950307846071,843.0362694300518,162706,193,2019,subs
3225,Baldwin at Montgomery,40.7236589,-74.0641943,558.1197411003236,172459,309,2019,subs
3267,Morris Canal,40.7124188237569,-74.03852552175522,623.2139479905437,527239,846,2019,subs
3268,Lafayette Park,40.71346382669195,-74.06285852193831,773.0829875518672,186313,241,2019,subs
3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,436.883008356546,313682,718,2019,subs
3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,416.30441640378547,263937,634,2019,subs
3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,377.4193548387097,280800,744,2019,subs
3273,Manila & 1st,40.72165072487999,-74.04288411140442,397.555910543131,248870,626,2019,subs
3275,Columbus Drive,40.71835519823214,-74.03891444206238,430.57459926017265,349196,811,2019,subs
3276,Marin Light Rail,40.71458403535893,-74.04281705617905,532.3948397185301,680933,1279,2019,subs
3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,2687.943396226415,427383,159,2019,subs
3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,412.09154929577466,292585,710,2019,subs
3279,Dixon Mills,40.72163014263835,-74.04996782541275,348.87860082304525,169555,486,2019,subs
3280,Astor Place,40.71928220070703,-74.07126188278198,672.9090909090909,251668,374,2019,subs
3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,817.7471910112359,145559,178,2019,subs
3426,JCBS Depot,40.70965083364061,-74.0686011314392,1548.625,12389,8,2019,subs
3481,York St,40.71649,-74.04105,489.30575539568343,136027,278,2019,subs
3483,Montgomery St,40.71942,-74.05099,478.8611898016997,169038,353,2019,subs
3638,Washington St,40.7242941,-74.0354826,542.6743341404358,448249,826,2019,subs
3639,Harborside,40.71925170000001,-74.034234,620.3883161512027,902665,1455,2019,subs
3640,Journal Square,40.733670000000004,-74.0625,546.5166931637519,343759,629,2019,subs
3677,Glenwood Ave,40.72755146730012,-74.07106071710588,543.5378151260504,64681,119,2019,subs
3678,Fairmount Ave,40.72572613742557,-74.07195925712584,873.1238532110092,190341,218,2019,subs
3679,Bergen Ave,40.72210378668603,-74.07145500183104,476.7175572519084,124900,262,2019,subs
3681,Grand St,40.71517767732029,-74.03768330812454,558.1371237458194,333766,598,2019,subs
3694,Jackson Square,40.71113,-74.0789,1064.948051948052,82001,77,2019,subs
3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,804.1525423728814,47445,59,2019,subs
173,Broadway & W 49 St,40.76068327096592,-73.98452728986742,3205.0,3205,1,2020,subs
327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,3305.5,6611,2,2020,subs
476,E 31 St & 3 Ave,40.74394314,-73.97966069,99361.0,99361,1,2020,subs
505,6 Ave & W 33 St,40.74901271,-73.98848395,3481.0,3481,1,2020,subs
534,Water - Whitehall Plaza,40.70255065,-74.0127234,631695.0,631695,1,2020,subs
3184,Paulus Hook,40.7141454,-74.0335519,1267.6590436590436,609744,481,2020,subs
3185,City Hall,40.717732500000004,-74.04384499999999,986.4511834319527,666841,676,2020,subs
3186,Grove St PATH,40.71958611647166,-74.0431174635887,883.4728986645719,1124661,1273,2020,subs
3187,Warren St,40.721123600000006,-74.03805095,812.4348659003831,424091,522,2020,subs
3191,Union St,40.71821129999999,-74.08363940000001,1498.7462686567164,200832,134,2020,subs
3192,Liberty Light Rail,40.711242299999995,-74.0557013,1733.2273838630806,1417780,818,2020,subs
3193,Lincoln Park,40.7246050998869,-74.07840594649316,1713.1704545454545,603036,352,2020,subs
3194,McGinley Square,40.7253399253558,-74.06762212514876,738.8053435114504,193567,262,2020,subs
3195,Sip Ave,40.73089709786179,-74.06391263008119,569.065671641791,381274,670,2020,subs
3196,Riverview Park,40.7443187,-74.04399090000001,1137.4308943089432,139904,123,2020,subs
3198,Heights Elevator,40.748715945380226,-74.04044330120088,1465.7471264367816,255040,174,2020,subs
3199,Newport Pkwy,40.728744799999994,-74.03210820000001,1402.2170245398772,1828491,1304,2020,subs
3201,Dey St,40.737711,-74.066921,810.75,81075,100,2020,subs
3202,Newport PATH,40.7272235,-74.03375890000001,1023.4652317880794,618173,604,2020,subs
3203,Hamilton Park,40.727595965999996,-74.044247311,1096.7262512768132,1073695,979,2020,subs
3205,JC Medical Center,40.71653978099194,-74.0496379137039,1502.6872536136661,1143545,761,2020,subs
3206,Hilltop,40.7311689,-74.0575736,994.1864406779661,175971,177,2020,subs
3207,Oakland Ave,40.7376037,-74.05247829999999,850.4054054054054,62930,74,2020,subs
3209,Brunswick St,40.7241765,-74.05065640000001,871.2460567823343,276185,317,2020,subs
3210,Pershing Field,40.742677141,-74.051788633,1365.0231213872833,236149,173,2020,subs
3211,Newark Ave,40.72152515,-74.046304543,911.0292504570384,498333,547,2020,subs
3212,Christ Hospital,40.734785818,-74.050443636,946.0266666666666,70952,75,2020,subs
3213,Van Vorst Park,40.71848892,-74.047726625,1414.3305263157895,671807,475,2020,subs
3214,Essex Light Rail,40.712774200000005,-74.03648570000001,873.584,218396,250,2020,subs
3220,5 Corners Library,40.73496102000952,-74.05950307846071,1003.3655913978495,93313,93,2020,subs
3225,Baldwin at Montgomery,40.7236589,-74.0641943,711.7191780821918,207822,292,2020,subs
3267,Morris Canal,40.7124188237569,-74.03852552175522,1114.2784588441332,636253,571,2020,subs
