start station id,start station name,start station latitude,start station longitude,start duration mean,start duration sum,start duration count,start year,start type
3184,Paulus Hook,40.7141454,-74.0335519,589.5771632471008,660916,1121,2019,subs
3185,City Hall,40.717732500000004,-74.04384499999999,587.5378704720088,535247,911,2019,subs
3186,Grove St PATH,40.71958611647166,-74.0431174635887,436.4244449749344,1828182,4189,2019,subs
3187,Warren St,40.721123600000006,-74.03805095,436.9106529209622,381423,873,2019,subs
3191,Union St,40.71821129999999,-74.08363940000001,1038.3636363636363,79954,77,2019,subs
3192,Liberty Light Rail,40.711242299999995,-74.0557013,948.8718801996672,570272,601,2019,subs
3193,Lincoln Park,40.7246050998869,-74.07840594649316,891.2237288135593,262911,295,2019,subs
3194,McGinley Square,40.7253399253558,-74.06762212514876,574.4363636363636,252752,440,2019,subs
3195,Sip Ave,40.73089709786179,-74.06391263008119,707.6901226597805,1096212,1549,2019,subs
3196,Riverview Park,40.7443187,-74.04399090000001,830.6010638297872,156153,188,2019,subs
3198,Heights Elevator,40.748715945380226,-74.04044330120088,846.3861386138614,170970,202,2019,subs
3199,Newport Pkwy,40.728744799999994,-74.03210820000001,710.0269709543569,684466,964,2019,subs
3201,Dey St,40.737711,-74.066921,652.1666666666666,78260,120,2019,subs
3202,Newport PATH,40.7272235,-74.03375890000001,551.9752281616688,846730,1534,2019,subs
3203,Hamilton Park,40.727595965999996,-74.044247311,447.3620055197792,972565,2174,2019,subs
3205,JC Medical Center,40.71653978099194,-74.0496379137039,2816.887159533074,1447880,514,2019,subs
3206,Hilltop,40.7311689,-74.0575736,624.8523985239852,169335,271,2019,subs
3207,Oakland Ave,40.7376037,-74.05247829999999,560.9122807017544,191832,342,2019,subs
3209,Brunswick St,40.7241765,-74.05065640000001,401.04299583911234,289152,721,2019,subs
3210,Pershing Field,40.742677141,-74.051788633,712.8533653846154,296547,416,2019,subs
3211,Newark Ave,40.72152515,-74.046304543,654.3139653414883,641882,981,2019,subs
3212,Christ Hospital,40.734785818,-74.050443636,654.7444933920705,148627,227,2019,subs
3213,Van Vorst Park,40.71848892,-74.047726625,530.2286432160804,422062,796,2019,subs
3214,Essex Light Rail,40.712774200000005,-74.03648570000001,629.664739884393,326796,519,2019,subs
3220,5 Corners Library,40.73496102000952,-74.05950307846071,720.5093457943925,154189,214,2019,subs
3225,Baldwin at Montgomery,40.7236589,-74.0641943,597.9404761904761,200908,336,2019,subs
3267,Morris Canal,40.7124188237569,-74.03852552175522,582.2416756176154,542067,931,2019,subs
3268,Lafayette Park,40.71346382669195,-74.06285852193831,1900.3627906976744,408578,215,2019,subs
3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,443.73721590909093,312391,704,2019,subs
3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,357.0868965517241,258888,725,2019,subs
3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,531.915900131406,404788,761,2019,subs
3273,Manila & 1st,40.72165072487999,-74.04288411140442,366.48936170212767,241150,658,2019,subs
3275,Columbus Drive,40.71835519823214,-74.03891444206238,462.85695708712615,355937,769,2019,subs
3276,Marin Light Rail,40.71458403535893,-74.04281705617905,503.78529657477026,603031,1197,2019,subs
3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,1036.1408450704225,147132,142,2019,subs
3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,427.15384615384613,305415,715,2019,subs
3279,Dixon Mills,40.72163014263835,-74.04996782541275,421.8585086042065,220632,523,2019,subs
3280,Astor Place,40.71928220070703,-74.07126188278198,691.2182890855457,234323,339,2019,subs
3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,820.6995305164319,174809,213,2019,subs
3426,JCBS Depot,40.70965083364061,-74.0686011314392,1970.0,1970,1,2019,subs
3481,York St,40.71649,-74.04105,473.2700729927007,129676,274,2019,subs
3483,Montgomery St,40.71942,-74.05099,496.3633952254642,187129,377,2019,subs
3638,Washington St,40.7242941,-74.0354826,581.4940758293839,490781,844,2019,subs
3639,Harborside,40.71925170000001,-74.034234,657.5057393652937,973766,1481,2019,subs
3640,Journal Square,40.733670000000004,-74.0625,556.7395833333334,427576,768,2019,subs
3677,Glenwood Ave,40.72755146730012,-74.07106071710588,503.5652173913044,69492,138,2019,subs
3678,Fairmount Ave,40.72572613742557,-74.07195925712584,432.23426573426576,123619,286,2019,subs
3679,Bergen Ave,40.72210378668603,-74.07145500183104,541.0335820895523,144997,268,2019,subs
3681,Grand St,40.71517767732029,-74.03768330812454,581.795681063123,350241,602,2019,subs
3694,Jackson Square,40.71113,-74.0789,1054.7171717171718,104417,99,2019,subs
3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,756.6785714285714,42374,56,2019,subs
3184,Paulus Hook,40.7141454,-74.0335519,1111.223404255319,522275,470,2020,subs
3185,City Hall,40.717732500000004,-74.04384499999999,964.5944767441861,663641,688,2020,subs
3186,Grove St PATH,40.71958611647166,-74.0431174635887,657.6099044309296,756909,1151,2020,subs
3187,Warren St,40.721123600000006,-74.03805095,919.3605577689243,461519,502,2020,subs
3191,Union St,40.71821129999999,-74.08363940000001,1606.8175182481752,220134,137,2020,subs
3192,Liberty Light Rail,40.711242299999995,-74.0557013,1816.4498044328552,1393217,767,2020,subs
3193,Lincoln Park,40.7246050998869,-74.07840594649316,1682.9104938271605,545263,324,2020,subs
3194,McGinley Square,40.7253399253558,-74.06762212514876,706.7054054054054,261481,370,2020,subs
3195,Sip Ave,40.73089709786179,-74.06391263008119,809.3651452282157,585171,723,2020,subs
